Species	Source
Forcipiger flavissimus	Local_csv
Johnrandallia nigrirostris	Local_csv
Prognathodes falcifer	Local_csv
Phtheirichthys lineatus	Local_csv
Remora brachyptera	Local_csv
Remora osteochir	Local_csv
Remora remora	Local_csv
Remorina albescens	Local_csv
Chaetodipterus zonatus	Local_csv
Anisotremus interruptus	Local_csv
Anisotremus scapularis	Local_csv
Haemulon scudderii	Local_csv
Haemulon steindachneri	Local_csv
Orthopristis cantharinus	Local_csv
Orthopristis lethopristis	Local_csv
Xenichthys xanti	Local_csv
Kuhlia mugil	Local_csv
Hoplopagrus guentherii	Local_csv
Lutjanus guttatus	Local_csv
Pristipomoides zonatus	Local_csv
Malacanthus brevirostris	Local_csv
Caulolatilus affinis	Local_csv
Pseudupeneus grandisquamis	Local_csv
Opistognathus rhomaleus	Local_csv
Oplegnathus insignis	Local_csv
Cookeolus japonicus	Local_csv
Heteropriacanthus cruentatus	Local_csv
Priacanthus cf. meeki	Local_csv
Pristigenys serrula	Local_csv
Cilus gilberti	Local_csv
Corvula macrops	Local_csv
Cynoscion phoxocephalus	Local_csv
Larimus pacificus	Local_csv
Alphestes immaculatus	Local_csv
Anthias noeli	Local_csv
Cephalopholis panamensis	Local_csv
Dermatolepis dermatolepis	Local_csv
Diplectrum eumelum	Local_csv
Diplectrum euryplectrum	Local_csv
Diplectrum macropoma	Local_csv
Diplectrum rostrum	Local_csv
Epinephelus cifuentesi	Local_csv
Epinephelus labriformis	Local_csv
Hemanthias peruanus	Local_csv
Hemilutjanus macrophthalmos	Local_csv
Hyporthodus mystacinus	Local_csv
Hyporthodus niveatus	Local_csv
Liopropoma longilepis	Local_csv
Mycteroperca xenarcha	Local_csv
Pronotogrammus multifasciatus	Local_csv
Serranus aequidens	Local_csv
Serranus psittacinus	Local_csv
Serranus stilbostigma	Local_csv
Auxis rochei	Local_csv
Auxis thazard	Local_csv
Sphyraena barracuda	Local_csv
Sphyraena ensis	Local_csv
Cubiceps pauciradiatus	Local_csv
Nomeus gronovii	Local_csv
Psenes arafurensis	Local_csv
Psenes cyanophrys	Local_csv
Psenes pellucidus	Local_csv
Psenes sio	Local_csv
Trinectes fonsecensis	Local_csv
Bothus leopardinus	Local_csv
Bothus mancus	Local_csv
Symphurus varius	Local_csv
Citharichthys gnathus	Local_csv
Hippoglossina bollmani	Local_csv
Paralichthys woolmani	Local_csv
Aseraggodes herrei	Local_csv
Monolene maculipinna	Local_csv
Syacium ovale	Local_csv
Symphurus atramentatus	Local_csv
Symphurus diabolicus	Local_csv
Paraliparis darwini	Local_csv
Paraliparis galapagosensis	Local_csv
Peristedion crustosum	Local_csv
Pontinus clemensi	Local_csv
Pontinus furcirhinus	Local_csv
Scorpaena histrio	Local_csv
Scorpaena mystes	Local_csv
