Species	Source
Lissocrangon stylirostris	GBIF
Elassochirus tenuimanus	GBIF
Philoscia muscorum	GBIF
Elthusa californica	GBIF
Clausocalanus parapergens	GBIF
Heterorhabdus tanneri	GBIF
Euchirella pseudopulchra	GBIF
Pandalus eous	GBIF
Holmesiella anomala	GBIF
Desdimelita californica	GBIF
Rhithropanopeus harrisii	GBIF
Eualus townsendi	GBIF
Scleroplax schmitti	GBIF
Allorchestes bellabella	GBIF
Eohaustorius estuarius	GBIF
Pagurus tanneri	GBIF
Atylus tridens	GBIF
Paguristes bakeri	GBIF
Crangon dalli	GBIF
Temora longicornis	GBIF
Gnathopleustes pachychaetus	GBIF
Eobrolgus spinosus	GBIF
Tiron biocellatus	GBIF
Pagurus caurinus	GBIF
Clavella adunca	GBIF
Elassochirus gilli	GBIF
Heptacarpus paludicola	GBIF
Betaeus harrimani	GBIF
Scolecodes huntsmani	GBIF
Pentidotea schmitti	GBIF
Ptilosarcoma athyrmata	GBIF
Polycheria osborni	GBIF
Harpiniopsis triplex	GBIF
Rocinela laticauda	GBIF
Trichoniscus pygmaeus	GBIF
Dulichia rhabdoplastis	GBIF
Parapagurus benedicti	GBIF
Porcellio dilatatus	GBIF
Maera similis	GBIF
Crangonyx richmondensis	GBIF
Eogammarus oclairi	GBIF
Pagurus ochotensis	GBIF
Spirontocaris ochotensis	GBIF
Megamoera subtener	GBIF
Jassa morinoi	GBIF
Cancer borealis	GBIF
Cheirimedeia macrodactyla	GBIF
Scleroplax tubicola	GBIF
Heterostylites longicornis	GBIF
Microcalanus pusillus	GBIF
Byblis bathyalis	GBIF
Bradyidius saanichi	GBIF
Pleuromamma xiphias	GBIF
Pleuromamma scutullata	GBIF
Xenacanthomysis pseudomacropsis	GBIF
Triconia canadensis	GBIF
Eurytemora pacifica	GBIF
Gaetanus tenuispinus	GBIF
Racovitzanus antarcticus	GBIF
Gaetanus pungens	GBIF
Romaleon antennarium	GBIF
Armadillidium nasatum	GBIF
Baeonectes improvisus	GBIF
Pseudanthessius latus	GBIF
Munidion parvum	GBIF
Munidopsis cascadia	GBIF
Rhepoxynius heterocuspidatus	GBIF
Chondracanthus gracilis	GBIF
Eohaustorius brevicuspis	GBIF
Planes minutus	GBIF
Cyamus scammoni	GBIF
Bathycalliax geomar	GBIF
Neopleustes columbianus	GBIF
Onychocorycaeus catus	GBIF
Americhelidium rectipalmum	GBIF
Diacyclops nanus	GBIF
Metopa palmata	GBIF
Diastylis quadriplicata	GBIF
Attheyella idahoensis	GBIF
Pagurus redondoensis	GBIF
Disseta scopularis	GBIF
Benthoxynus spiculifer	GBIF
Macroregonia macrochira	GBIF
Ampithoe sectimana	GBIF
Austruca perplexa	GBIF
Caprella ferrea	GBIF
Ericthonius punctatus	GBIF
Sinelobus stanfordi	GBIF
Protohyale oclairi	GBIF
Cyamus orubraedon	GBIF
Cyamus catodontis	GBIF
Columbiaemysis ignota	GBIF
Paguristes sayi	GBIF
Munidopsis verrilli	GBIF
Exacanthomysis davisi	GBIF
Cyamus monodontis	GBIF
Romaleon branneri	GBIF
Alamprops serratus	GBIF
Grandifoxus grandis	GBIF
Tecticeps pugettensis	GBIF
Rhachotropis gubilata	GBIF
Eusirus columbianus	GBIF
Monoculodes latissimanus	GBIF
Lucicutia flavicornis	GBIF
Protomedeia grandimana	GBIF
Pontogeneia intermedia	GBIF
Atylus collingi	GBIF
Pinnixa scamit	GBIF
Caprella penantis	GBIF
Neocyamus physeteris	GBIF
Oregonia bifurca	GBIF
Betaeus longidactylus	GBIF
Paciforchestia klawei	GBIF
Aristias falcatus	GBIF
Foxiphalus fucaximeus	GBIF
Protohyale seticornis	GBIF
Pontogeneia kondakovi	GBIF
Trachypleustes trevori	GBIF
Herpyllobius haddoni	GBIF
Calocalanus styliremis	GBIF
Hoploparia riddlensis	GBIF
Megokkos alaskensis	GBIF
Alcespina americana	GBIF
Portunites insculpta	GBIF
Pulalius vulgaris	GBIF
Branchioplax washingtoniana	GBIF
Asthenognathus cornishorum	GBIF
Leonardsaxius spinulicauda	GBIF
Gammarus setosus	GBIF
Americhelidium variabilum	GBIF
Diastylis sentosa	GBIF
Neocallichirus porterensis	GBIF
Hansarsia lobata	GBIF
Discorsopagurus schmitti	GBIF
Syrrhoites columbiae	GBIF
Lernaea cyprinacea	GBIF
Eryma dawsoni	GBIF
Linuparus vancouverensis	GBIF
Monocorophium uenoi	GBIF
Opisa eschrichtii	GBIF
Eudorella emarginata	GBIF
Pardalisca cuspidata	GBIF
Zeuxo kurilensis	GBIF
Mesocrangon intermedia	GBIF
Synidotea consolidata	GBIF
Themisto compressa	GBIF
Asellus tamaensis	GBIF
Stellicola oreastriphilus	GBIF
Themisto pacifica	GBIF
Spirontocaris prionota	GBIF
Pagurus hemphilli	GBIF
Oniscus asellus	GBIF
Procambarus clarkii	GBIF
Porcellio scaber	GBIF
Detonella papillicornis	GBIF
Notodelphys affinis	GBIF
Orthione griffenis	GBIF
Paracrangon echinata	GBIF
Oithona atlantica	GBIF
Paralomis multispina	GBIF
Pugettia foliata	GBIF
Argis alaskensis	GBIF
Vanhoeffenura pulchra	GBIF
Ectinosoma melaniceps	GBIF
Ditrichocorycaeus anglicus	GBIF
Rocinela angustata	GBIF
Chionoecetes angulatus	GBIF
Hyas lyratus	GBIF
Bentheogennema burkenroadi	GBIF
Aoroides columbiae	GBIF
Littorophiloscia richardsonae	GBIF
Synidotea angulata	GBIF
Pentidotea aculeata	GBIF
Idotea fewkesi	GBIF
Acartia longiremis	GBIF
Munidopsis alvisca	GBIF
Eualus suckleyi	GBIF
Munidopsis subsquamosa	GBIF
Pseudodiaptomus inopinus	GBIF
Tiron canadense	GBIF
Platorchestia chathamensis	GBIF
Uptionyx verenae	GBIF
Eurytemora americana	GBIF
Panulirus guttatus	GBIF
Alpheus armatus	GBIF
Crangonyx pseudogracilis	GBIF
Caecidotea racovitzai	GBIF
Faxonius virilis	GBIF
