"Species","Source"
"Mimonectes loveni","GBIF"
"Oradarea longimana","GBIF"
"Anonyx comecrudus","GBIF"
"Sarsamphiascus undosus","GBIF"
"Rhepoxynius tridentatus","GBIF"
"Chondracanthus pinguis","GBIF"
"Acantholochus venustus","GBIF"
"Gennadas kempi","GBIF"
"Janiralata occidentalis","GBIF"
"Minuca pugnax","GBIF"
"Polycheria carinata","GBIF"
"Chevalia aviculae","GBIF"
"Centropages abdominalis","GBIF"
"Ampithoe rubricata","GBIF"
"Monoculodes brevirostris","GBIF"
"Gnorimosphaeroma insulare","GBIF"
"Rocinela americana","GBIF"
"Eualus macrophthalmus","GBIF"
"Hourstonius vilordes","GBIF"
"Rhachotropis inflata","GBIF"
"Jassa falcata","GBIF"
"Petalophthalmus armiger","GBIF"
"Hesperodiaptomus franciscanus","GBIF"
"Uromunna ubiquita","GBIF"
"Paraeuchaeta elongata","GBIF"
"Chromopleustes lineatus","GBIF"
"Excirolana chiltoni","GBIF"
"Chondracanthus pusillus","GBIF"
"Heptacarpus flexus","GBIF"
"Atylus levidensus","GBIF"
"Carinonajna longimana","GBIF"
"Carinonajna lessoniophila","GBIF"
"Ampithoe kussakini","GBIF"
"Maera loveni","GBIF"
"Pinnotheres taylori","GBIF"
"Majoxiphalus maximus","GBIF"
"Parapasiphae sulcatifrons","GBIF"
"Gammaropsis ellisi","GBIF"
"Cystisoma latipes","GBIF"
"Hesperodiaptomus kenai","GBIF"
"Neognathophausia gigas","GBIF"
"Jassa marmorata","GBIF"
"Crangon allmanni","GBIF"
"Photis parvidons","GBIF"
"Onchocalanus magnus","GBIF"
"Kamptopleustes coquillus","GBIF"
"Munidopsis tiburon","GBIF"
"Discerceis granulosa","GBIF"
"Dactylopusia vulgaris","GBIF"
"Orchomene pacifica","GBIF"
"Paraphoxus epistomus","GBIF"
"Podocerus spongicolus","GBIF"
"Raninoides vaderensis","GBIF"
"Macroacaena alseana","GBIF"
"Processa peruviana","GBIF"
"Trichopeltarion granulosa","GBIF"
"Ptilohyale littoralis","GBIF"
"Munna halei","GBIF"
"Leimia vaga","GBIF"
"Bruzelia tuberculata","GBIF"
"Heptacarpus herdmani","GBIF"
"Rhynohalicella halona","GBIF"
"Eriocheir sinensis","GBIF"
"Iais californica","GBIF"
"Herrmannella columbiae","GBIF"
"Ramellogammarus ramellus","GBIF"
"Pandalus eous","GBIF"
"Caprella ferrea","GBIF"
"Ericthonius punctatus","GBIF"
"Pandalus borealis","GBIF"
"Holmesiella anomala","GBIF"
"Sinelobus stanfordi","GBIF"
"Crangon septemspinosa","GBIF"
"Lissocrangon stylirostris","GBIF"
"Protohyale oclairi","GBIF"
"Cyamus orubraedon","GBIF"
"Cyamus catodontis","GBIF"
"Crangon nigricauda","GBIF"
"Ampelisca careyi","GBIF"
"Columbiaemysis ignota","GBIF"
"Nebalia pugettensis","GBIF"
"Desdimelita californica","GBIF"
"Heterostylites longicornis","GBIF"
"Pentidotea schmitti","GBIF"
"Incisocalliope derzhavini","GBIF"
"Megamoera subtener","GBIF"
"Elassochirus tenuimanus","GBIF"
"Calocalanus styliremis","GBIF"
"Eualus townsendi","GBIF"
"Eogammarus oclairi","GBIF"
"Munidopsis verrilli","GBIF"
"Exacanthomysis davisi","GBIF"
"Mesocrangon munitella","GBIF"
"Cyamus monodontis","GBIF"
"Scleroplax schmitti","GBIF"
"Diastylis pellucida","GBIF"
"Romaleon branneri","GBIF"
"Neocrangon abyssorum","GBIF"
"Clausocalanus parapergens","GBIF"
"Petrolisthes eriomerus","GBIF"
"Triconia borealis","GBIF"
"Allorchestes bellabella","GBIF"
"Planes minutus","GBIF"
"Alamprops serratus","GBIF"
"Grandifoxus grandis","GBIF"
"Tecticeps pugettensis","GBIF"
"Rhachotropis gubilata","GBIF"
"Paraeuchaeta elongata","GBIF"
"Oregonia gracilis","GBIF"
"Eohaustorius estuarius","GBIF"
"Xenacanthomysis pseudomacropsis","GBIF"
"Romaleon antennarium","GBIF"
"Eusirus columbianus","GBIF"
"Pagurus tanneri","GBIF"
"Ampithoe sectimana","GBIF"
"Atylus tridens","GBIF"
"Scleroplax faba","GBIF"
"Pentidotea wosnesenskii","GBIF"
"Monoculodes latissimanus","GBIF"
"Lucicutia flavicornis","GBIF"
"Philoscia muscorum","GBIF"
"Pontogeneia intermedia","GBIF"
"Atylus collingi","GBIF"
"Scleroplax littoralis","GBIF"
"Pleurogonium rubicundum","GBIF"
"Eohaustorius brevicuspis","GBIF"
"Caprella penantis","GBIF"
"Neocyamus physeteris","GBIF"
"Ligia pallasii","GBIF"
"Eucalanus bungii","GBIF"
"Crangon dalli","GBIF"
"Neocrangon communis","GBIF"
"Oregonia bifurca","GBIF"
"Macroregonia macrochira","GBIF"
"Gnathopleustes pachychaetus","GBIF"
"Paciforchestia klawei","GBIF"
"Aristias falcatus","GBIF"
"Maera similis","GBIF"
"Pagurus caurinus","GBIF"
"Foxiphalus fucaximeus","GBIF"
"Gammaropsis thompsoni","GBIF"
"Racovitzanus antarcticus","GBIF"
"Chionoecetes tanneri","GBIF"
"Cyamus scammoni","GBIF"
"Protohyale seticornis","GBIF"
"Pontogeneia kondakovi","GBIF"
"Metacrangon munita","GBIF"
"Labidochirus splendescens","GBIF"
"Spirontocaris ochotensis","GBIF"
"Trachypleustes trevori","GBIF"
"Candacia columbiae","GBIF"
"Elassochirus gilli","GBIF"
"Heptacarpus paludicola","GBIF"
"Betaeus harrimani","GBIF"
"Rhynocrangon alata","GBIF"
"Armadillidium nasatum","GBIF"
"Parapagurus benedicti","GBIF"
"Ptilosarcoma athyrmata","GBIF"
"Rocinela laticauda","GBIF"
"Ericthonius rubricornis","GBIF"
"Scolecodes huntsmani","GBIF"
"Dulichia rhabdoplastis","GBIF"
"Pagurus ochotensis","GBIF"
"Trichoniscus pygmaeus","GBIF"
"Elthusa californica","GBIF"
"Leucon fulvus","GBIF"
"Megokkos alaskensis","GBIF"
"Polycheria osborni","GBIF"
"Alcespina americana","GBIF"
"Portunites insculpta","GBIF"
"Raninoides vaderensis","GBIF"
"Pulalius vulgaris","GBIF"
"Branchioplax washingtoniana","GBIF"
"Raninoides vaderensis","GBIF"
"Asthenognathus cornishorum","GBIF"
"Branchioplax washingtoniana","GBIF"
"Gammarus setosus","GBIF"
"Betaeus longidactylus","GBIF"
"Americhelidium variabilum","GBIF"
"Tiron biocellatus","GBIF"
"Megamoera dentata","GBIF"
"Diastylis sentosa","GBIF"
"Neocallichirus porterensis","GBIF"
"Microcalanus pusillus","GBIF"
"Rhithropanopeus harrisii","GBIF"
"Porcellio dilatatus","GBIF"
"Crangonyx richmondensis","GBIF"
"Disseta scopularis","GBIF"
"Bradyidius saanichi","GBIF"
"Pleuromamma xiphias","GBIF"
"Pleuromamma scutullata","GBIF"
"Triconia canadensis","GBIF"
"Eurytemora pacifica","GBIF"
"Gaetanus tenuispinus","GBIF"
"Gaetanus pungens","GBIF"
"Heterorhabdus tanneri","GBIF"
"Euchirella pseudopulchra","GBIF"
"Eualus townsendi","GBIF"
"Metopa palmata","GBIF"
"Leonardsaxius spinulicauda","GBIF"
"Pseudanthessius latus","GBIF"
"Munidion parvum","GBIF"
"Neopleustes columbianus","GBIF"
"Orchomenella pinguis","GBIF"
"Glebocarcinus oregonensis","GBIF"
"Hoploparia riddlensis","GBIF"
"Scleroplax tubicola","GBIF"
"Baeonectes improvisus","GBIF"
"Wecomedon wecomus","GBIF"
"Hansarsia lobata","GBIF"
"Palaemon modestus","GBIF"
"Tortanus discaudatus","GBIF"
"Planes marinus","GBIF"
"Mesocrangon intermedia","GBIF"
"Paguristes bakeri","GBIF"
"Eobrolgus spinosus","GBIF"
"Jassa morinoi","GBIF"
"Clavella adunca","GBIF"
"Cenomanocarcinus beardi","GBIF"
"Gnorimosphaeroma oregonense","GBIF"
"Stellicola oreastriphilus","GBIF"
"Sunamphitoe humeralis","GBIF"
"Pagurus redondoensis","GBIF"
"Lernaea cyprinacea","GBIF"
"Eryma dawsoni","GBIF"
"Asellus tamaensis","GBIF"
"Excirolana chiltoni","GBIF"
"Temora longicornis","GBIF"
