"Species","Source"
"Dasyatis brevis","OBIS"
"Carapus dubius","OBIS"
"Echiodon exsilium","OBIS"
"Porichthys ephippiatus","OBIS"
"Stellifer chrysoleuca","OBIS"
"Astroscopus zephyreus","OBIS"
"Corvula macrops","OBIS"
"Gibbonsia metzi","OBIS"
"Diplectrum sciurus","OBIS"
"Paralonchurus goodei","OBIS"
"Urobatis concentricus","OBIS"
"Urotrygon nana","OBIS"
"Hirundichthys marginatus","OBIS"
"Hemicaranx zelotes","OBIS"
"Starksia cremnobates","OBIS"
"Uropterygius macularius","OBIS"
"Merluccius productus","OBIS"
"Peristedion crustosum","OBIS"
"Diplectrum maximum","OBIS"
"Arcos poecilophthalmos","OBIS"
"Alopias pelagicus","OBIS"
"Decapterus muroadsi","OBIS"
"Gobiesox schultzi","OBIS"
"Melanorhinus cyanellus","OBIS"
"Pronotogrammus multifasciatus","OBIS"
"Kyphosus azureus","OBIS"
"Galeocerdo cuvier","OBIS"
"Bothus mancus","OBIS"
"Hyporhamphus snyderi","OBIS"
"Chauliodus barbatus","OBIS"
"Conodon serrifer","OBIS"
"Erotelis armiger","OBIS"
"Myxodagnus opercularis","OBIS"
"Ablennes hians","OBIS"
"Cynoscion xanthulus","OBIS"
"Apodichthys fucorum","OBIS"
"Etrumeus sadina","OBIS"
"Sphyrna zygaena","OBIS"
"Iniistius pavo","OBIS"
"Synodus sechurae","OBIS"
"Lepophidium negropinna","OBIS"
"Trinectes xanthurus","OBIS"
"Heteroconger digueti","OBIS"
"Ophichthus rugifer","OBIS"
"Symbolophorus reversus","OBIS"
"Sebastes auriculatus","OBIS"
"Starksia galapagensis","OBIS"
"Achirus klunzingeri","OBIS"
"Coralliozetus boehlkei","OBIS"
"Gibbonsia elegans","OBIS"
"Notarius planiceps","OBIS"
"Tylosurus fodiator","OBIS"
"Carcharhinus porosus","OBIS"
"Gobiosoma paradoxum","OBIS"
"Clevelandia ios","OBIS"
"Daector dowi","OBIS"
"Totoaba macdonaldi","OBIS"
"Etrumeus acuminatus","OBIS"
"Caulolatilus affinis","OBIS"
"Hygophum atratum","OBIS"
"Stellifer ericymba","OBIS"
"Diplectrum rostrum","OBIS"
"Coralliozetus rosenblatti","OBIS"
"Lampanyctus ritteri","OBIS"
"Bodianus pulcher","OBIS"
"Remora australis","OBIS"
"Gymnura crebripunctata","OBIS"
"Scomberomorus concolor","OBIS"
"Anisotremus caesius","OBIS"
"Microlepidotus brevipinnis","OBIS"
"Rostroraja equatorialis","OBIS"
"Opistognathus punctatus","OBIS"
"Leuresthes tenuis","OBIS"
"Mccoskerichthys sandae","OBIS"
"Sphoeroides sechurae","OBIS"
"Ancylopsetta dendritica","OBIS"
"Atherinella starksi","OBIS"
"Diapterus auratus","OBIS"
"Trinectes fimbriatus","OBIS"
"Bathycongrus macrurus","OBIS"
"Bollmannia stigmatura","OBIS"
"Ogilbia davidsmithi","OBIS"
"Scopelogadus bispinosus","OBIS"
"Remora brachyptera","OBIS"
"Coryphaenoides anguliceps","OBIS"
"Ophidion galeoides","OBIS"
"Bollmannia marginalis","OBIS"
"Odontoscion xanthops","OBIS"
"Opisthopterus equatorialis","OBIS"
"Platygillellus rubellulus","OBIS"
"Stathmonotus culebrai","OBIS"
"Tomicodon eos","OBIS"
"Notarius troschelii","OBIS"
"Opistognathus rhomaleus","OBIS"
"Paraletharchus pacificus","OBIS"
"Microgobius emblematicus","OBIS"
"Stethojulis bandanensis","OBIS"
"Atractoscion nobilis","OBIS"
"Bollmannia ocellata","OBIS"
"Clinocottus analis","OBIS"
"Fodiator rostratus","OBIS"
"Ilypnus luculentus","OBIS"
"Odontopyxis trispinosa","OBIS"
"Sphyrna tiburo","OBIS"
"Ophichthus longipenis","OBIS"
"Dibranchus spinosus","OBIS"
"Lepophidium pardale","OBIS"
"Membras gilberti","OBIS"
"Dactyloscopus lacteus","OBIS"
"Ctenogobius manglicola","OBIS"
"Triakis semifasciata","OBIS"
"Odontognathus panamensis","OBIS"
"Melichthys vidua","OBIS"
"Enchelycore lichenosa","OBIS"
"Umbrina dorsalis","OBIS"
"Cynoscion othonopterus","OBIS"
"Gempylus serpens","OBIS"
"Lagocephalus lagocephalus","OBIS"
"Gymnothorax funebris","OBIS"
"Leptocottus armatus","OBIS"
"Gymnothorax monostigma","OBIS"
"Gobulus hancocki","OBIS"
"Tetronarce tremens","OBIS"
"Remora osteochir","OBIS"
"Argyropelecus affinis","OBIS"
"Mugil hospes","OBIS"
"Cynoscion stolzmanni","OBIS"
"Acanthemblemaria stephensi","OBIS"
"Axoclinus cocoensis","OBIS"
"Eleotrica cableae","OBIS"
"Paralabrax humeralis","OBIS"
"Enneanectes macrops","OBIS"
"Auxis rochei","OBIS"
"Carcharhinus albimarginatus","OBIS"
"Physiculus rastrelliger","OBIS"
"Micrometrus minimus","OBIS"
"Squatina californica","OBIS"
"Paraconger californiensis","OBIS"
"Ophidion imitator","OBIS"
"Psenes sio","OBIS"
"Stellifer mancorensis","OBIS"
"Gobiesox papillifer","OBIS"
"Elops saurus","OBIS"
"Gymnothorax buroensis","OBIS"
"Nasolamia velox","OBIS"
"Dactyloscopus byersorum","OBIS"
"Phtheirichthys lineatus","OBIS"
"Bairdiella armata","OBIS"
"Petrotyx hopkinsi","OBIS"
"Scorpaenichthys marmoratus","OBIS"
"Cookeolus japonicus","OBIS"
"Symphurus melasmatotheca","OBIS"
"Microdesmus dorsipunctatus","OBIS"
"Acanthemblemaria balanorum","OBIS"
"Chiloconger dentatus","OBIS"
"Tigrigobius nesiotes","OBIS"
"Apogon binotatus","OBIS"
"Gobiesox rhessodon","OBIS"
"Citharichthys gordae","OBIS"
"Syacium longidorsale","OBIS"
"Bollmannia macropoma","OBIS"
"Emblemaria piratica","OBIS"
"Notarius kessleri","OBIS"
