"Species","Source"
"Rhizoprionodon taxandriae","GBIF"
"Atlanticopristis equatorialis","GBIF"
"Plesiotrygon nana","GBIF"
"Fontitrygon ukpam","GBIF"
"Rhynchobatus luebberti","GBIF"
"Carcharhinus hemiodon","GBIF"
"Odontaspis ferox","GBIF"
"Himantura leoparda","GBIF"
"Rhynchobatus springeri","GBIF"
"Brevitrygon walga","GBIF"
"Hemiscyllium galei","GBIF"
"Torpedo bauchotae","GBIF"
"Carcharhinus brachyurus","GBIF"
"Lamna acutissima","GBIF"
"Galeus aduncus","GBIF"
"Nebrius obliquus","GBIF"
"Mobula eregoodoo","GBIF"
"Squaliolus laticaudus","GBIF"
"Scyliorhinus haeckelii","GBIF"
"Neoraja africana","GBIF"
"Brevitrygon imbricata","GBIF"
"Sphyrna zygaena","GBIF"
"Pateobatis bleekeri","GBIF"
"Neotrygon bobwardi","GBIF"
"Potamotrygon henlei","GBIF"
"Styracura pacifica","GBIF"
"Chiloscyllium indicum","GBIF"
"Gymnura zonura","GBIF"
"Eusphyra blochii","GBIF"
"Maculabatis gerrardi","GBIF"
"Dipturus springeri","GBIF"
"Bathyraja richardsoni","GBIF"
"Tetronarce tremens","GBIF"
"Okamejei heemstrai","GBIF"
"Cephaloscyllium sufflans","GBIF"
"Pseudobatos lentiginosus","GBIF"
"Nebrius ferrugineus","GBIF"
"Urobatis jamaicensis","GBIF"
"Apristurus yangi","GBIF"
"Hypanus americanus","GBIF"
"Glaucostegus thouin","GBIF"
"Pseudobatos glaucostigmus","GBIF"
