"Sample_name","BestTaxon","Class","nReads","domain","phylum","class","order","family","genus","species"
"RL2501_F019_1_2_MV1","Homo sapiens","Mammalia",410,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F019_1_2_MV1","Lampanyctus bristori","Actinopteri",558,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus bristori"
"RL2501_F019_1_2_MV1","Notoscopelus","Actinopteri",378,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus",NA
"RL2501_F019_1_2_MV1","Phosichthyidae","Actinopteri",633,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F019_1_2_MV1","Sebastes","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F019_1_2_MV1","Symbolophorus californiensis","Actinopteri",974,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F019_1_2_MV1","Trachurus symmetricus","Actinopteri",398,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F019_1_2_MV1",NA,NA,15681,NA,NA,NA,NA,NA,NA,NA
"RL2501_F019_1_3_MV1","Ceratoscopelus","Actinopteri",1281,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F019_1_3_MV1","Chiasmodontidae","Actinopteri",45,"Eukaryota","Chordata","Actinopteri","Scombriformes","Chiasmodontidae",NA,NA
"RL2501_F019_1_3_MV1","Diogenichthys","Actinopteri",42,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys",NA
"RL2501_F019_1_3_MV1","Diogenichthys atlanticus","Actinopteri",122,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus"
"RL2501_F019_1_3_MV1","Leuroglossus","Actinopteri",109,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
"RL2501_F019_1_3_MV1","Myctophum nitidulum","Actinopteri",81,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F019_1_3_MV1","Notoscopelus","Actinopteri",78,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus",NA
"RL2501_F019_1_3_MV1","Phosichthyidae","Actinopteri",153,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F019_1_3_MV1","Sebastes","Actinopteri",52,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F019_1_3_MV1","Stomiidae","Actinopteri",126,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae",NA,NA
"RL2501_F019_1_3_MV1","Symbolophorus californiensis","Actinopteri",460,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F019_1_3_MV1",NA,NA,9250,NA,NA,NA,NA,NA,NA,NA
"RL2501_F019_1_4_MV1","Ceratoscopelus","Actinopteri",2446,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F019_1_4_MV1","Ceratoscopelus warmingii","Actinopteri",79,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus warmingii"
"RL2501_F019_1_4_MV1","Diogenichthys atlanticus","Actinopteri",2733,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus"
"RL2501_F019_1_4_MV1","Isurus oxyrinchus","Chondrichthyes",252,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus"
"RL2501_F019_1_4_MV1","Phosichthyidae","Actinopteri",1025,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F019_1_4_MV1","Sardinops sagax","Actinopteri",1118,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax"
"RL2501_F019_1_4_MV1","Stomiidae","Actinopteri",1083,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae",NA,NA
"RL2501_F019_1_4_MV1","Symbolophorus californiensis","Actinopteri",5122,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F019_1_4_MV1",NA,NA,29601,NA,NA,NA,NA,NA,NA,NA
"RL2501_F019_2_1_MV1","Ceratoscopelus","Actinopteri",326,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F019_2_1_MV1","Engraulis mordax","Actinopteri",448,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F019_2_1_MV1",NA,NA,23343,NA,NA,NA,NA,NA,NA,NA
"RL2501_F019_2_2_MV1","Ceratoscopelus","Actinopteri",574,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F019_2_2_MV1","Symbolophorus californiensis","Actinopteri",805,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F019_2_2_MV1",NA,NA,38372,NA,NA,NA,NA,NA,NA,NA
"RL2501_F019_2_3_MV1","Astropecten verrilli","Asteroidea",37,"Eukaryota","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten verrilli"
"RL2501_F019_2_3_MV1","Atherinopsis californiensis","Actinopteri",2,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Atherinopsis","Atherinopsis californiensis"
"RL2501_F019_2_3_MV1","Balaenoptera physalus","Mammalia",9,"Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus"
"RL2501_F019_2_3_MV1","Bathylagoides wesethi","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides wesethi"
"RL2501_F019_2_3_MV1","Bos taurus","Mammalia",21,"Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus"
"RL2501_F019_2_3_MV1","Brachygenys californiensis","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Brachygenys","Brachygenys californiensis"
"RL2501_F019_2_3_MV1","Ceratoscopelus","Actinopteri",535,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F019_2_3_MV1","Citharichthys","Actinopteri",35,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys",NA
"RL2501_F019_2_3_MV1","Citharichthys sordidus","Actinopteri",303,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_F019_2_3_MV1","Cyclothone signata","Actinopteri",11,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F019_2_3_MV1","Delphinidae","Mammalia",790,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F019_2_3_MV1","Delphinus bairdii","Mammalia",62,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Delphinus","Delphinus bairdii"
"RL2501_F019_2_3_MV1","Diogenichthys atlanticus","Actinopteri",2,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus"
"RL2501_F019_2_3_MV1","Engraulis mordax","Actinopteri",17040,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F019_2_3_MV1","Gallus","Aves",6,"Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Gallus",NA
"RL2501_F019_2_3_MV1","Hemilepidotus","Actinopteri",6,"Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Hemilepidotus",NA
"RL2501_F019_2_3_MV1","Homo sapiens","Mammalia",208,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F019_2_3_MV1","Icichthys lockingtoni","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Scombriformes","Centrolophidae","Icichthys","Icichthys lockingtoni"
"RL2501_F019_2_3_MV1","Isurus oxyrinchus","Chondrichthyes",130,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus"
"RL2501_F019_2_3_MV1","Leuroglossus","Actinopteri",11,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
"RL2501_F019_2_3_MV1","Luvarus imperialis","Actinopteri",5,"Eukaryota","Chordata","Actinopteri","Acanthuriformes","Luvaridae","Luvarus","Luvarus imperialis"
"RL2501_F019_2_3_MV1","Merluccius productus","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"RL2501_F019_2_3_MV1","Myctophum nitidulum","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F019_2_3_MV1","Oneirodes","Actinopteri",21,"Eukaryota","Chordata","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes",NA
"RL2501_F019_2_3_MV1","Paralichthys californicus","Actinopteri",8,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys californicus"
"RL2501_F019_2_3_MV1","Phosichthyidae","Actinopteri",794,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F019_2_3_MV1","Pleuronectidae","Actinopteri",11,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae",NA,NA
"RL2501_F019_2_3_MV1","Prionace glauca","Chondrichthyes",39,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca"
"RL2501_F019_2_3_MV1","Sardinops sagax","Actinopteri",5,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax"
"RL2501_F019_2_3_MV1","Sebastes","Actinopteri",437,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F019_2_3_MV1","Stenobrachius leucopsarus","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Stenobrachius","Stenobrachius leucopsarus"
"RL2501_F019_2_3_MV1","Symbolophorus californiensis","Actinopteri",170,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F019_2_3_MV1","Syngnathus","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"RL2501_F019_2_3_MV1","Tetragonurus cuvieri","Actinopteri",106,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F019_2_3_MV1","Trachurus symmetricus","Actinopteri",23,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F019_2_3_MV1","Uria","Aves",2,"Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Uria",NA
"RL2501_F019_2_3_MV1","Zalophus californianus","Mammalia",6,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus"
"RL2501_F019_2_3_MV1",NA,NA,38415,NA,NA,NA,NA,NA,NA,NA
"RL2501_F019_2_4_MV1","Ceratoscopelus","Actinopteri",159,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F019_2_4_MV1","Engraulis mordax","Actinopteri",674,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F019_2_4_MV1","Homo sapiens","Mammalia",430,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F019_2_4_MV1","Nansenia ardesiaca","Actinopteri",142,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Microstomatidae","Nansenia","Nansenia ardesiaca"
"RL2501_F019_2_4_MV1","Phosichthyidae","Actinopteri",590,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F019_2_4_MV1","Photonectes margarita","Actinopteri",581,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Photonectes","Photonectes margarita"
"RL2501_F019_2_4_MV1",NA,NA,38651,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_1_1_MV1","Ceratoscopelus","Actinopteri",570,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_1_1_MV1","Cyclothone signata","Actinopteri",1165,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_1_1_MV1","Delphinidae","Mammalia",3,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F020_1_1_MV1","Gigantactis vanhoeffeni","Actinopteri",138,"Eukaryota","Chordata","Actinopteri","Lophiiformes","Gigantactinidae","Gigantactis","Gigantactis vanhoeffeni"
"RL2501_F020_1_1_MV1","Lampadena urophaos","Actinopteri",328,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampadena","Lampadena urophaos"
"RL2501_F020_1_1_MV1","Myctophum nitidulum","Actinopteri",352,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_1_1_MV1","Phosichthyidae","Actinopteri",9631,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F020_1_1_MV1","Stenella coeruleoalba","Mammalia",94,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Stenella","Stenella coeruleoalba"
"RL2501_F020_1_1_MV1","Symbolophorus californiensis","Actinopteri",442,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F020_1_1_MV1","Tursiops truncatus","Mammalia",126,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Tursiops","Tursiops truncatus"
"RL2501_F020_1_1_MV1",NA,NA,7407,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_1_2_MV1","Alopias superciliosus","Chondrichthyes",44,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias superciliosus"
"RL2501_F020_1_2_MV1","Bolinichthys longipes","Actinopteri",216,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Bolinichthys","Bolinichthys longipes"
"RL2501_F020_1_2_MV1","Ceratoscopelus","Actinopteri",1377,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_1_2_MV1","Cyclothone signata","Actinopteri",1569,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_1_2_MV1","Engraulis mordax","Actinopteri",331,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F020_1_2_MV1","Homo sapiens","Mammalia",334,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F020_1_2_MV1","Myctophum nitidulum","Actinopteri",124,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_1_2_MV1","Phosichthyidae","Actinopteri",11626,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F020_1_2_MV1","Symbolophorus californiensis","Actinopteri",766,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F020_1_2_MV1","Tetragonurus cuvieri","Actinopteri",2,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F020_1_2_MV1",NA,NA,12004,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_1_3_MV1","Bathylagoides wesethi","Actinopteri",223,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides wesethi"
"RL2501_F020_1_3_MV1","Ceratoscopelus","Actinopteri",1212,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_1_3_MV1","Cyclothone signata","Actinopteri",1518,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_1_3_MV1","Engraulis mordax","Actinopteri",16,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F020_1_3_MV1","Lampanyctus tenuiformis","Actinopteri",76,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus tenuiformis"
"RL2501_F020_1_3_MV1","Myctophum nitidulum","Actinopteri",57,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_1_3_MV1","Phosichthyidae","Actinopteri",9411,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F020_1_3_MV1","Stenella coeruleoalba","Mammalia",75,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Stenella","Stenella coeruleoalba"
"RL2501_F020_1_3_MV1","Symbolophorus californiensis","Actinopteri",124,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F020_1_3_MV1","Trachurus symmetricus","Actinopteri",108,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F020_1_3_MV1",NA,NA,11804,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_1_4_MV1","Alopias superciliosus","Chondrichthyes",7,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias superciliosus"
"RL2501_F020_1_4_MV1","Alopias vulpinus","Chondrichthyes",12,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"RL2501_F020_1_4_MV1","Ceratoscopelus","Actinopteri",2469,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_1_4_MV1","Cyclothone signata","Actinopteri",1613,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_1_4_MV1","Delphinidae","Mammalia",639,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F020_1_4_MV1","Lampris incognitus","Actinopteri",144,"Eukaryota","Chordata","Actinopteri","Lampriformes","Lampridae","Lampris","Lampris incognitus"
"RL2501_F020_1_4_MV1","Lestidium","Actinopteri",227,"Eukaryota","Chordata","Actinopteri","Aulopiformes","Paralepididae","Lestidium",NA
"RL2501_F020_1_4_MV1","Mesoplodon ginkgodens","Mammalia",131,"Eukaryota","Chordata","Mammalia","Artiodactyla","Ziphiidae","Mesoplodon","Mesoplodon ginkgodens"
"RL2501_F020_1_4_MV1","Myctophum nitidulum","Actinopteri",424,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_1_4_MV1","Phosichthyidae","Actinopteri",33458,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F020_1_4_MV1","Scomber japonicus","Actinopteri",496,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber japonicus"
"RL2501_F020_1_4_MV1","Stenella coeruleoalba","Mammalia",272,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Stenella","Stenella coeruleoalba"
"RL2501_F020_1_4_MV1","Tetragonurus cuvieri","Actinopteri",426,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F020_1_4_MV1","Trachurus symmetricus","Actinopteri",204,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F020_1_4_MV1",NA,NA,8840,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_2_1_MV1","Ceratoscopelus","Actinopteri",6908,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_2_1_MV1","Cololabis saira","Actinopteri",963,"Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Cololabis","Cololabis saira"
"RL2501_F020_2_1_MV1","Cyclothone signata","Actinopteri",4927,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_2_1_MV1","Engraulis mordax","Actinopteri",3,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F020_2_1_MV1","Homo sapiens","Mammalia",990,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F020_2_1_MV1","Myctophum nitidulum","Actinopteri",706,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_2_1_MV1","Notoscopelus","Actinopteri",1051,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus",NA
"RL2501_F020_2_1_MV1","Notoscopelus resplendens","Actinopteri",133,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus resplendens"
"RL2501_F020_2_1_MV1","Phosichthyidae","Actinopteri",75583,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F020_2_1_MV1","Stenella coeruleoalba","Mammalia",438,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Stenella","Stenella coeruleoalba"
"RL2501_F020_2_1_MV1","Symbolophorus californiensis","Actinopteri",2389,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F020_2_1_MV1","Tetragonurus cuvieri","Actinopteri",1892,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F020_2_1_MV1",NA,NA,21265,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_2_2_MV1","Ceratoscopelus","Actinopteri",6945,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_2_2_MV1","Cyclothone signata","Actinopteri",11153,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_2_2_MV1","Delphinidae","Mammalia",140,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F020_2_2_MV1","Engraulis mordax","Actinopteri",65,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F020_2_2_MV1","Homo sapiens","Mammalia",335,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F020_2_2_MV1","Lampanyctus","Actinopteri",1144,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus",NA
"RL2501_F020_2_2_MV1","Myctophum nitidulum","Actinopteri",2536,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_2_2_MV1","Phosichthyidae","Actinopteri",25936,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F020_2_2_MV1","Symbolophorus californiensis","Actinopteri",617,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F020_2_2_MV1","Trachurus symmetricus","Actinopteri",945,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F020_2_2_MV1",NA,NA,21281,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_2_3_MV1","Ceratoscopelus","Actinopteri",6273,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_2_3_MV1","Cololabis saira","Actinopteri",310,"Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Cololabis","Cololabis saira"
"RL2501_F020_2_3_MV1","Cyclothone signata","Actinopteri",3793,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_2_3_MV1","Diogenichthys atlanticus","Actinopteri",84,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus"
"RL2501_F020_2_3_MV1","Homo sapiens","Mammalia",24,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F020_2_3_MV1","Isurus oxyrinchus","Chondrichthyes",31,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus"
"RL2501_F020_2_3_MV1","Myctophum nitidulum","Actinopteri",844,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_2_3_MV1","Phosichthyidae","Actinopteri",12310,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F020_2_3_MV1","Symbolophorus californiensis","Actinopteri",74,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F020_2_3_MV1","Trachurus symmetricus","Actinopteri",160,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F020_2_3_MV1",NA,NA,10421,NA,NA,NA,NA,NA,NA,NA
"RL2501_F020_2_4_MV1","Ceratoscopelus","Actinopteri",6242,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F020_2_4_MV1","Cyclothone signata","Actinopteri",5652,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F020_2_4_MV1","Lampanyctus reinhardti","Actinopteri",4145,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus reinhardti"
"RL2501_F020_2_4_MV1","Myctophum nitidulum","Actinopteri",2709,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F020_2_4_MV1","Phosichthyidae","Actinopteri",49962,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
