"ASV_id","domain_global","phylum_global","class_global","order_global","family_global","genus_global","species_global","pct_id_global","TAXID","SCIENTIFIC_NAME","COUNT","sintax","domain_local","phylum_local","class_local","order_local","family_local","genus_local","species_local","pct_id_local","pass1_winner","pass2_triggered","preferred_pctid","preferred_database","preferred_domain","preferred_phylum","preferred_class","preferred_order","preferred_family","preferred_genus","preferred_species","preferred_scientific_name"
"MiFish_0000486",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000487","Eukaryota","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos",99.4318181818182,"29144","Chanos chanos",13,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,99.4318181818182,"global","Eukaryota","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","Chanos chanos"
"MiFish_0000488","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus","Epinephelus bontoides",96.4497041420118,"1167616","Epinephelus bontoides",176,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Perciformes,f:Serranidae,g:Epinephelus,s:Epinephelus_merra","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus","Epinephelus merra",95.3,"global",TRUE,96.4497041420118,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus",NA,"Epinephelus"
"MiFish_0000489","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",95.3216374269006,"48193","Mugil cephalus",40,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",95.3,"global",TRUE,95.3216374269006,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000490","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4152046783626,"48193","Mugil cephalus",403,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4,"global",TRUE,99.4152046783626,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000491","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus",98.8235294117647,"168377","Sphoeroides annulatus",73,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,98.8235294117647,"global","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","Sphoeroides annulatus"
"MiFish_0000492",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,12672,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000493","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus",98.2456140350877,"168377","Sphoeroides annulatus",13,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,98.2456140350877,"global","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","Sphoeroides annulatus"
"MiFish_0000494",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,36,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000495","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",95.4022988505747,"48193","Mugil cephalus",13,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",95.3,"global",TRUE,95.4022988505747,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000496",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,386,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000497",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,32,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
