"ASV_id","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","match_rank"
"MiFish_0001029","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Haemulon","Haemulon","Haemulon plumierii",NA,"genus"
"MiFish_0001046","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Hyporthodus","Hyporthodus","Hyporthodus octofasciatus",NA,"genus"
"MiFish_0001050","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Scorpaenidae","Scorpaenidae","Pontinus","Pontinus","Pontinus macrocephalus",NA,"genus"
"MiFish_0001051","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Pleuronectiformes","Pleuronectiformes","Bothidae","Bothidae","Bothus","Bothus","Bothus robinsi",NA,"genus"
"MiFish_0001065","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0001073","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0001089","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0001096","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0001145","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Scombriformes","Scombriformes","Nomeidae","Nomeidae","Cubiceps","Cubiceps","Cubiceps squamiceps",NA,"genus"
"MiFish_0001149","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Anguilliformes","Anguilliformes","Muraenidae","Muraenidae","Enchelycore","Enchelycore","Enchelycore nigricans",NA,"genus"
"MiFish_0001152","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0001155","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Spariformes","Spariformes","Sparidae","Sparidae","Archosargus",NA,"Archosargus rhomboidalis",NA,"family"
"MiFish_0001166","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0001168","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf taurus",NA,"genus"
"MiFish_0001173","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Stegastes","Stegastes","Stegastes rectifraenum",NA,"genus"
"MiFish_0001177","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gobiiformes","Gobiiformes","Gobiidae","Gobiidae","Microdesmus","Microdesmus","Microdesmus longipinnis",NA,"genus"
"MiFish_0001179","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Spariformes","Spariformes","Sparidae","Sparidae","Archosargus",NA,"Archosargus rhomboidalis",NA,"family"
