"ASV_id","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000903","Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax buroensis","species"
"MiFish_0000905",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000918",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000936",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000932",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000933",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000942",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000917",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000958",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000945","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus","Epinephelus merra","species"
"MiFish_0000923",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000964",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000921",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000930",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000940",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000944",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000959",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000941",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000948",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000961",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000946",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000950",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000934",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000939",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000949",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000935",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000955",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000956",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000937",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000922",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000954",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000927",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000943",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000960",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000947",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000970",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000967",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000938",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000953",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000951",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000952",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000974","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron","Arothron hispidus","species"
"MiFish_0000968",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000965",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000984",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000957",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000972",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000962",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000973",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000976",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000966",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000975",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000996","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron","Arothron hispidus","species"
"MiFish_0000971","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber",NA,"genus"
"MiFish_0000985",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000997",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000991",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000998",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001003",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000977",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000994",NA,NA,NA,NA,NA,NA,NA,NA
