"ASV_id","pct_id","count","obitools_name","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000968",99.4186046511628,66,"Scarus ghobban","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Scarus","Scarus ghobban","species"
"MiFish_0000969",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000970",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000971",100,209,"Scomber","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber",NA,"genus"
"MiFish_0000972",0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000973",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000974",99.4152046783626,50,"Arothron","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron",NA,"genus"
"MiFish_0000975",0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000976",97.6470588235294,11,"Lutjanus","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"genus"
"MiFish_0000977",99.4186046511628,70,"Scarus ghobban","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Scarus","Scarus ghobban","species"
"MiFish_0000978",0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000979",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000980",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000981",0,716,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000982",0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000983",0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000984",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000985",99.4186046511628,26,"Scarus ghobban","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Scarus","Scarus ghobban","species"
"MiFish_0000986",99.4082840236686,12,"Scomber","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber",NA,"genus"
"MiFish_0000987",0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000988",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000989",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000990",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000991",99.4285714285714,29,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000992",99.4186046511628,33,"Scarus ghobban","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Scarus","Scarus ghobban","species"
"MiFish_0000993",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000994",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000995",99.4186046511628,20,"Scarus ghobban","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Scarus","Scarus ghobban","species"
"MiFish_0000996",99.4152046783626,59,"Arothron","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron",NA,"genus"
"MiFish_0000997",98.8165680473373,63,"Muraena lentiginosa","Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Muraena","Muraena lentiginosa","species"
"MiFish_0000998",99.4285714285714,48,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000999",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0001000",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
