"""Actaea"" angusta"
Callinectes toxotes
Calocalanus pavo
Calocalanus plumulosus
Calocalanus styliremis
Calvactaea tumida
Calverocheres engeli
Calverocheres globosus
Calypsina changeuxi
Camatopsis rubida
Camilohelleria manteri
Camposcia retusa
Campylaspis aculeata
Campylaspis bicarinata
Campylaspis bulbosa
Campylaspis glebulosa
Campylaspis globosa
Campylaspis nitens
Cancellus parfaiti
Cancer borealis
Cancer plebejus
Cancer porteri
Cancerilla oblonga
Cancerilla tubulata
Cancricepon castroi
Cancrincola longiseta
Candacia armata
Candacia bipinnata
Candacia bispinosa
Candacia bradyi
Candacia catula
Candacia curta
Candacia ethiopica
Candacia guggenheimi
Candacia longimana
Candacia ornata
Candacia pachydactyla
Candacia simplex
Candacia truncata
Candacia varicans
Cantellius cardenae
Cantellius iwayama
Cantellius pallidus
Canthocalanus pauper
Caphyra loevis
Capitetragonia alphei
Capitoniscus peruvicus
Capitulum mitella
Carcinus maenas
Cardiodectes rubosus
Cardisoma armatum
Cardisoma carnifex
Cardisoma crassum
Cardisoma guanhumi
Caridina acutirostris
Caridina africana
Caridina appendiculata
Caridina bakoensis
Caridina belazoniensis
Caridina boehmei
Caridina brachydactyla
Caridina brevicarpalis
Caridina bruneiana
Caridina buehleri
Caridina bunyonyiensis
Caridina caerulea
Caridina celebensis
Caridina clandestina
Caridina cognata
Caridina dali
Caridina demani
Caridina dennerli
Caridina endehensis
Caridina ensifera
Caridina fusca
Caridina glaubrechti
Caridina gordonae
Caridina gracilipes
Caridina gracilirostris
Caridina gueryi
Caridina holthuisi
Caridina jeani
Caridina johnsoni
Caridina kaili
Caridina kilimae
Caridina lanceolata
Caridina laoagensis
Caridina laroeha
Caridina leucosticta
Caridina lilianae
Caridina linduensis
Caridina lineorostris
Caridina lingkonae
Caridina loehae
Caridina longidigita
Caridina longirostris
Caridina mahalona
Caridina malayensis
Caridina marlenae
Caridina masapi
Caridina mayamareenae
Caridina neglecta
Caridina nilotica
Caridina papuana
Caridina parvidentata
Caridina parvula
Caridina peninsularis
Caridina poso
Caridina profundicola
Caridina propinqua
Caridina pseudonilotica
Caridina roubaudi
Caridina sarasinorum
Caridina schenkeli
Caridina serratirostris
Caridina spinata
Caridina spongicola
Caridina striata
Caridina subventralis
Caridina sulawesi
Caridina sumatrensis
Caridina temasek
Caridina tenuirostris
Caridina thambipillai
Caridina thomasi
Caridina togoensis
Caridina typus
Caridina villadolidi
Caridina woltereckae
Caridina wyckii
Caridina zhujiangensis
Carolinicola galapagoensis
Carpilius convexus
Carpilius maculatus
Carupa tenuipes
Cassidinidea fluminensis
Cataleptodius floridanus
Cataleptodius occidentalis
Cataleptodius snodgrassi
Cataleptodius taboganus
Catapagurus haigae
Catapagurus oculocrassus
Catherinum minardi
Catherinum novaezelandiae
Catoptrus inaequalis
Catoptrus nitidus
Caudites exmouthensis
Caudoeuraphia caudata
Cavoportunus dubius
Centropages bradyi
Centropages calaninus
Centropages elongatus
Centropages furcatus
Centropages gracilis
Centropages longicornis
Centropages orsinii
Centropages velificatus
Centropages violaceus
Cephaloecetes ungulatus
Ceratocarcinus longimanus
Ceratothoa gaudichaudii
Cerceis pravipalma
Ceriodaphnia cornuta
Ceriodaphnia dubia
Ceriodaphnia rigaudi
Ceuthoecetes acanthothrix
Ceuthoecetes aliger
Ceuthoecetes introversus
Chaceon maritae
Chaceon quinquedens
Chaenostoma boscii
Chaenostoma crassimanus
Chaetarcturus abyssicolus
Chaetarcturus myops
Chalarostylis elegans
Challengerosergia challengeri
Challengerosergia fulgens
Challengerosergia talismani
Charybdis affinis
Charybdis anisodon
Charybdis annulata
Charybdis bimaculata
Charybdis callianassa
Charybdis feriata
Charybdis hellerii
Charybdis hongkongensis
Charybdis lucifer
Charybdis natator
Charybdis padangensis
Charybdis truncata
Charybdis variegata
Chasmocarcinops gelasimoides
Chasmocarcinus arcuatus
Chasmocarcinus hirsutipes
Chasmocarcinus latipes
Chasmocarcinus longipes
Chauliolobion forcipatum
Chauliolobion halodeimatis
Chauliolobion imparile
Chauliolobion tectuliferum
Cheiriphotis quadrichelatus
Cheiroplatea laticauda
Cheiroplatea laticaudata
Cheiroplatea rotundioculus
Chelarctus cultrifer
Chelator aequabilis
Chelator vulgaris
Chelonibia testudinaria
Chelorchestia costaricana
Cherax boesemani
Cherax pulcher
Cherax quadricarinatus
Cherax snowden
Cherax warsamsonicus
Cherusius triunguiculatus
Chevalia convexa
Chevalia marajoara
Chevalia thomasi
Chinommatia cavimanus
Chiridius poppei
Chirostylus sandyi
Chirostylus stellaris
Chirundina indica
Chirundina streetsii
Chirundinella magna
Chlamydopleon aculeatum
Chlorocurtis jactans
Chlorodiella barbata
Chlorodiella cytherea
Chlorodiella laevissima
Chlorodiella nigra
Chlorotocella gracilis
Chlorotocus crassicornis
Chondracanthodes deflexus
Chondrochelia dubia
Chorioxynus moluccensis
Chorisquilla mehtae
Chorisquilla spinosissima
Chorisquilla trigibbosa
Chorisquilla tuberculata
Chthamalus dentatus
Chthamalus malayensis
Chthamalus newmani
Chthamalus panamensis
Chthamalus proteus
Chthamalus stellatus
Chydorus sphaericus
Cilicaea crassicaudata
Cilicaea latreillei
Cilicaeopsis laevis
Ciliopagurus caparti
Ciliopagurus strigatus
Cinetorhynchus erythrostictus
Cinetorhynchus gabonensis
Cinetorhynchus hendersoni
Cinetorhynchus hiatti
Cinetorhynchus reticulatus
Circoniscus ornatus
Circulium rotundatum
Cirolana andamanensis
Cirolana bambang
Cirolana duo
Cirolana epimerias
Cirolana harfordi
Cirolana improceros
Cirolana leptanga
Cirolana namelessensis
Cirolana parva
Cirolana peisanae
Cirolana siamensis
Cirolana stenoura
Cirolana thailandica
Cirolana vanhoeffeni
Cirolana willeyi
Clamocus spinifer
Clastotoechus hickmani
Clausocalanus arcuicormis
Clausocalanus arcuicornis
Clausocalanus farrani
Clausocalanus furcatus
Clausocalanus mastigophorus
Clausocalanus minor
Clausocalanus sp. 1
Clavisodalis heterocentroti
Clavisodalis salmacidis
Cletocamptus axi
Cletocamptus dominicanus
Cletocamptus nudus
Cletocamptus schmidti
Cletocamptus sinaloensis
Clibanarius africanus
Clibanarius albidigitus
Clibanarius antennatus
Clibanarius carnifex
Clibanarius clibanarius
Clibanarius cooki
Clibanarius corallinus
Clibanarius danai
Clibanarius eurysternus
Clibanarius humilis
Clibanarius infraspinatus
Clibanarius laevimanus
Clibanarius lineatus
Clibanarius longitarsus
Clibanarius merguiensis
Clibanarius sclopetarius
Clibanarius senegalensis
Clibanarius striolatus
Clibanarius symmetricus
Clibanarius tricolor
Clibanarius virescens
Clibanarius vittatus
Climeniperaeus truncatus
Clistocoeloma merguiense
Clistocoeloma nobile
Cloridopsis dubia
Cloridopsis scorpio
Cloridopsis terrareginensis
Clytemnestra scutellata
Clythrocerus carinatus
Cobanocythere labiata
Cobanocythere subterranea
Cocorchestia fritzi
Coenobita brevimanus
Coenobita cavipes
Coenobita clypeatus
Coenobita compressa
Coenobita compressus
Coenobita lila
Coenobita longitarsis
Coenobita olivieri
Coenobita perlatus
Coenobita rubescens
Coenobita rugosus
Coenobita violascens
Colanthura bruscai
Colanthura gerungi
Colanthura uncinata
Collocheres comanthiphilus
Collocheres inflatiseta
Collocheres parvus
Collocheres prionotus
Collocheres serrulatus
Collocheres solidus
Collocheres thysanotus
Collocheres titillator
Collocheres uncinatus
Collocherides astroboae
Collocherides singularis
Collodes gibbosus
Collodes granosus
Collodes inermis
Collodes tenuirostris
Colobomolgus bandensis
Colombophiloscia alticola
Conaea rapax
Concavus panamensis
Conchoderma auritum
Conchoderma virgatum
Conchodytes meleagrinae
Conchodytes tridacnae
Conchoecetes andamanicus
Conchoecetes intermedius
Congophiloscia saothomensis
Conopea calceola
Conopea fidelis
Conopea galeata
Conopea saotomensis
Contusarma bocourti
Contusarma cheirogonum
Copilia longistylis
Copilia mirabilis
Copilia quadrata
Copilia vitrea
Copytus posterosulcus
Coralaxius galapagensis
Corallianassa coutierei
Coralliocaris brevirostris
Coralliocaris graminea
Coralliocaris labyrintha
Coralliocaris nudirostris
Coralliocaris sandyi
Coralliocryptus caementa
Coralliogalathea joae
Coralliogalathea parva
Coralliope armstrongi
Cordioniscus leleupi
Cornutosergestes cornutus
Coronalpheus natator
Coronida armata
Coronida bradyi
Coronida schmitti
Coronula diadema
Corycaeus affinis
Corycaeus andrewsi
Corycaeus asiaticus
Corycaeus clausi
Corycaeus crassiusculus
Corycaeus flaccus
Corycaeus latus
Corycaeus obtusus
Corycaeus robustus
Corycaeus sp. 1
Corycaeus speciosus
Corycaeus typicus
Corycaeus vitreus
Coryrhynchus margaritarius
Coryrhynchus vestitus
Cosmocalanus caroli
Cosmocalanus darwinii
Costatoverruca calotheca
Cranuca inversa
Crinotonia attenuatus
Criocarcinus superciliosus
Cristarma eulimene
Cristarma ortmanni
Cristimenes commensalis
Cristimenes cristimanus
Cronius ruber
Crosniera corindon
Crosnierita dicata
Crosnierita yante
Crossotonotus compressipes
Crossotonotus spinipes
Cryptione elongata
Cryptocnemus stimpsoni
Cryptodromia fallax
Cryptodromia mariae
Cryptodromia tuberculata
Cryptodromiopsis sarraburei
Cryptopenaeus clevai
Cryptopodia dorsalis
Cryptopodia fornicata
Cryptopodia laevimana
Cryptopontius acutus
Cryptosoma bairdii
Ctenocalanus vanus
Ctenorillo bananae
Ctenorillo regulus
Cuapetes amymone
Cuapetes elegans
Cuapetes ensifrons
Cuapetes grandis
Cuapetes kororensis
Cuapetes lacertae
Cuapetes lanceolatus
Cuapetes longirostris
Cuapetes tenuipes
Cubaris murina
Culexisoma niugini
Cumella aculeata
Cumella gracilima
Cumellopsis bicostata
Cushmanidea subjaponica
Cyclaspis longicaudata
Cyclaspoides bacescui
Cyclaspoides longimerus
Cyclaspoides sarsi
Cyclax suborbicularis
Cyclestheria hislopi
Cycloachelous granulatus
Cycloachelous orbicularis
Cycloachelous orbitosinus
Cyclocoeloma tuberculatum
Cyclodius granulosus
Cyclodius nitidus
Cyclodius obscurus
Cyclodius ungulatus
Cycloxanthops vittatus
Cylindrolepas darwiniana
Cylisticus convexus
Cymo andreossyi
Cymo cerasma
Cymo melanodactylus
Cymo quadrilobatus
Cymonomus delli
Cymonomus valdiviae
Cymothoa curta
Cymothoa exigua
Cymothoa pulchrum
Cyphocaris anonyx
Cyphocaris faurei
Cyphocaris richardi
Cyprideis stenopora
Cypridina acuminata
Cyproniscus decemspinosus
Cyrtomaia balssi
Cyrtomaia horrida
Cystisoma fabricii
Cystisoma magna
Cystisoma pellucida
Cytherella cribrosa
Cytherella incohata
Cytherella sangiranensis
Cytherella semitalis
Cytherelloidea cingulata
Cytherelloidea leroyi
Cytherura contraria
Dacryopilumnus rathbunae
Dactylonia anachoreta
Dactylonia ascidicola
Dactylonia holthuisi
Dactylonia okai
Dactylonida curvimana
Dactylonida mexicana
Dahlella caldariensis
Daira americana
Daira perlata
Dairella californica
Daldorfia glasselli
Daldorfia horrida
Daldorfia investigatoris
Daldorfia trigona
Danalia galea
Danielopolina carolynae
Danielopolina styx
Daphnia barbata
Daphnia longispina
Daphnia lumholtzi
Darcythompsonia fairliensis
Dardanus arrosor
Dardanus balhibuon
Dardanus dearmatus
Dardanus deformis
Dardanus fucosus
Dardanus gemmatus
Dardanus guttatus
Dardanus hessii
Dardanus jacquesi
Dardanus lagopodes
Dardanus longior
Dardanus megistos
Dardanus pectinatus
Dardanus pedunculatus
Dardanus sanguinocarpus
Dardanus sanguinolentus
Dardanus scutellatus
Dardanus setifer
Dardanus sinistripes
Dardanus venosus
Dardanus woodmasoni
Darwinula stevensoni
Dasycaris ceratops
Dasycaris zanzibarica
Dasydiaptomus coronatus
Deckenia mitis
Deilocerus laminatus
Dentibythere dentata
Dentoxanthus cultripes
Deosergestes coalitus
Deosergestes corniculum
Deosergestes henseni
Deosergestes paraseminudus
Deosergestes pediformis
Deosergestes seminudus
Dermoergasilus semiamplectens
Desmocaris trispinosa
Diaphanosoma excisum
Diaphanosoma polyspinum
Diaphanosoma spinulosum
Diaptomus negrensis
Diarthrodella galapagoensis
Diarthrodella neotropica
